Rank,Lifter,Sex,Age,Equip,Class,Weight,Squat,Bench,Deadlift,Total,Dots
1,Bomnorng Tek,M,31~,Raw,90,85.3,280,187.5,295,762.5,507.05
2,Zachary Broderick,M,27~,Raw,90,84.6,257.5,185,300,742.5,495.97
3,Gaoussou Coulibaly,M,22,Raw,100,94.8,260,187.5,325,772.5,487.06
4,Mason Sarra,M,20~,Raw,82.5,82.4,260,165,287.5,712.5,482.97
5,Evan Dunne,M,27~,Raw,90,87.5,275,175,275,725,475.62
6,Gordon Bash,M,29~,Raw,90,88.1,272.5,170,275,717.5,468.88
7,Kayla Maya,F,26,Raw,75,74.9,170,100,205,475,462.80
8,Quinten Walker,M,32~,Raw,90,89.6,257.5,162.5,292.5,712.5,461.61
9,Megan Smith #5,F,33~,Raw,56,53.5,140,75,170,385,460.18
10,Brendan Harrigan,M,22~,Raw,125,124.1,312.5,210,285,807.5,458.71
11,Amanda Koslow,F,36~,Raw,82.5,81.4,180,115,195,490,457.76
12,Michael Eng,M,17~,Raw,82.5,80.8,235,152.5,277.5,665,455.72
13,Lucas Campbell,M,22~,Raw,75,74.4,212.5,140,272.5,625,450.71
14,David Rhee,M,24~,Raw,67.5,67,212.5,115,252.5,580,449.45
15,Christian Kornegay,M,24~,Raw,110,106.2,250,175,317.5,742.5,445.69
16,Jeremiah Vivero,M,23~,Raw,90,89.9,260,160,267.5,687.5,444.66
17,Joel Cassady,M,21~,Raw,140+,163.5,337.5,197.5,310,845,444.16
18,Connor Chalfant,M,24~,Raw,82.5,82.4,245,152.5,252.5,650,440.61
19,Jack Townsend,M,19~,Raw,100,97.3,260,157.5,282.5,700,436.10
20,Tristen Laygo,M,25~,Raw,82.5,81.8,225,137.5,277.5,640,435.64
21,Sophia Chausse,F,21~,Raw,52,51.7,132.5,72.5,150,355,434.46
22,Jessica Hamming,F,25~,Raw,56,55.9,125,65,180,370,429.13
23,Kyle Pak,M,21~,Raw,90,84.8,227.5,140,275,642.5,428.62
24,Zachary Luc,M,23~,Raw,90,88,240,187.5,225,652.5,426.78
25,Jacob Norman #2,M,22,Raw,90,85.4,242.5,152.5,245,640,425.32
26,Joshua Pak,M,22~,Raw,90,86.2,227.5,147.5,267.5,642.5,424.84
27,Jose Granados,M,27~,Raw,125,120.3,300,157.5,282.5,740,424.58
28,Jason Le,M,23~,Raw,82.5,82,235,137.5,250,622.5,423.14
29,John Zeitz III,M,28~,Raw,90,89.6,240,150,257.5,647.5,419.62
30,Aaron Adato,M,25,Raw,100,98.1,232.5,177.5,265,675,418.99
31,Jorge Zheng,M,21~,Raw,67.5,67.5,185,132.5,225,542.5,418.13
32,Caleb Moore #5,M,19~,Raw,100,97.9,257.5,110,305,672.5,417.82
33,Edward Folkerts,M,21~,Raw,90,87.8,230,147.5,257.5,635,415.83
34,Ryan Benn,M,18~,Raw,100,98.1,237.5,170,260,667.5,414.33
35,Orlando Martinez,M,21~,Raw,75,74.9,202.5,117.5,252.5,572.5,410.90
36,Andrew Fisher,M,24~,Raw,82.5,76.6,212.5,145,222.5,580,410.43
37,Jeremy Ko,M,28~,Raw,82.5,80,217.5,142.5,235,595,410.28
38,Qiuyu Xue,M,24~,Raw,67.5,67.3,205,122.5,202.5,530,409.37
39,Brian Tran,M,23~,Raw,100,97.7,245,160,252.5,657.5,408.78
40,Eric Shugars,M,33~,Raw,82.5,80.5,217.5,135,242.5,595,408.78
41,Timothy Clavelli,M,30~,Raw,110,109,252.5,175,260,687.5,408.59
42,Andrew Howell,M,19~,Raw,67.5,67.5,182.5,125,220,527.5,406.57
43,Jayson Thomas,M,23~,Raw,75,73.8,205,125,230,560,405.96
44,Patrick Manijayme,M,26~,Raw,90,90,227.5,135,265,627.5,405.74
45,Eli DeLuca,M,19~,Raw,82.5,78.5,217.5,122.5,240,580,404.32
46,Alastair Woodward,M,30~,Raw,90,89.9,225,140,260,625,404.24
47,Austin Towle,M,25~,Raw,110,103.2,235,160,265,660,400.78
48,Erin Michael,F,40,Raw,67.5,65.9,137.5,80,165,382.5,400.27
49,Marisa Lara,F,29,Raw,75,67.6,132.5,92.5,162.5,387.5,399.54
50,Dylan Nguyen,M,18~,Raw,67.5,66.1,187.5,105,217.5,510,398.93
51,Alyssa Truong,F,25~,Raw,67.5,62.1,132.5,70,165,367.5,398.75
52,Elizabeth Arhavbarien,F,19~,Raw,82.5,80.1,150,75,197.5,422.5,397.73
53,Surya Chinnareddy,M,19~,Raw,90,89.8,212.5,135,265,612.5,396.49
54,Moustapha Aloubaidy,M,25~,Raw,140,134.5,280,185,250,715,396.34
55,Jamel Clark,M,45,Raw,110,103.7,237.5,152.5,260,650,393.93
56,Saad Khan,M,16~,Raw,75,74.5,200,97.5,247.5,545,392.68
57,Abner Montano,M,21~,Raw,125,119.7,232.5,195,255,682.5,392.29
58,Evelyn Sekajipo,F,40~,Raw,60,58.7,120,62.5,165,347.5,390.62
59,Luke Bailey,M,20~,Raw,110,108.5,262.5,150,242.5,655,389.90
60,Randall Muncher,M,34~,Raw,75,74.9,187.5,127.5,227.5,542.5,389.53
61,Tristan Montoya,M,20~,Raw,75,69.4,185,110,220,515,388.98
62,Tony Glover,M,41~,Raw,90,82.8,210,140,225,575,388.57
63,Aaron Oh,M,22~,Raw,75,74.9,185,122.5,232.5,540,387.57
64,Micah DeField,M,19~,Raw,75,72.8,192.5,117.5,220,530,387.49
65,Omar Ramadan,M,21~,Raw,90,87.4,210,115,265,590,387.28
66,Leslie Malave,F,20~,Raw,67.5,67.5,145,80,150,375,387.15
67,Allison Ginger,F,28~,Raw,56,55.3,112.5,72.5,145,330,385.72
68,Joseph Tedrow,M,38~,Raw,125,122.2,245,175,255,675,385.30
69,Jace Hahs,M,21~,Raw,90,88.3,217.5,125,247.5,590,385.11
70,Robert Mauceri,M,32~,Raw,75,74.2,200,105,227.5,532.5,384.50
71,Andrew Huang,M,16~,Raw,75,70.7,182.5,112.5,220,515,384.01
72,Seiba Rizk,M,22~,Raw,110,104.4,220,152.5,262.5,635,383.78
73,Christopher Dawiczyk,M,24~,Raw,82.5,80.3,202.5,120,235,557.5,383.44
74,Matthew Hemstock,M,24~,Raw,110,103.9,240,140,250,630,381.50
75,Erika Varner,F,34~,Raw,75,73.6,142.5,80,165,387.5,381.14
76,Gabrielle Liverpool,F,32~,Raw,82.5,81.2,170,82.5,155,407.5,381.04
77,Lilian Nguyen,F,19~,Raw,67.5,66.2,142.5,80,142.5,365,380.94
78,Adryana Gomez Cevallos,F,23~,Raw,56,54,122.5,55,142.5,320,379.83
79,Eun Shin,M,37,Raw,82.5,82.4,200,145,212.5,557.5,377.78
80,Caroline Heileson,F,36~,Raw,100,98.9,150,105,185,440,377.10
81,Alicia Carr,F,29~,Raw,56,55.9,120,67.5,137.5,325,376.94
82,Leonardo Chang,M,19~,Raw,100,97.1,220,132.5,250,602.5,375.71
83,Karen Wu,F,29~,Raw,60,59.6,125,65,145,335,372.94
84,Marcya Betts,F,32~,Raw,100+,104.9,175,80,190,445,372.90
85,Melissa Orlowski,F,28~,Raw,82.5,75.9,152.5,77.5,155,385,372.51
86,Rehan Anthony,M,22~,Raw,90,87.5,207.5,120,240,567.5,372.18
87,Tabitha Anderson,F,21~,Raw,60,58.7,112.5,77.5,140,330,370.95
88,Mason Sins,M,18~,Raw,100,97.5,235,130,230,595,370.34
89,Caleb Worthy,M,26~,Raw,82.5,81.2,197.5,125,217.5,540,369.13
90,Bryan Berardi,M,20~,Raw,82.5,81.3,182.5,140,217.5,540,368.74
91,Abigail Flemion,F,14~,Raw,67.5,64.5,125,75,147.5,347.5,368.30
92,Zackery Phipps,M,26~,Raw,110,107.9,222.5,152.5,240,615,366.93
93,Mikayla Dolina,F,15~,Raw,67.5,62,127.5,67.5,142.5,337.5,366.56
94,Huong Nguyen,F,27~,Raw,60,58.7,110,70,145,325,365.13
95,Andrew So,M,30~,Raw,140+,157.2,262.5,172.5,250,685,363.78
96,Braedon Young,M,16~,Raw,90,87.6,187.5,137.5,230,555,363.77
97,Karragan Harvell,F,22~,Raw,60,59.5,110,65,150,325,362.19
98,Daniel Meiser,M,27~,Raw,110,106,210,135,257.5,602.5,361.99
99,Albert Mategrano,M,53~,Raw,82.5,82.1,190,122.5,220,532.5,361.71
100,Amanda Koldjeski,F,44,Raw,75,73.5,115,97.5,155,367.5,361.68
101,Ashley Coursey,F,27~,Raw,90,86.8,145,75,175,395,357.94
102,Jason Carriero,M,17~,Raw,90,85.2,200,120,217.5,537.5,357.65
103,Cobi Matsumoto,F,25~,Raw,90,85.8,160,62.5,170,392.5,357.58
104,Ian VanZandt,M,31~,Raw,125,124.9,240,150,240,630,357.10
